marca|modelo|categoria|precio_mxn|rango|combustible|transmision|url
BMW|BMW M4 Coupé CS|Coupé|3394900.0|Más de $1,200,000|Gasolina|automática 8 velocidades Steptronic|https://www.autocosmos.com.mx/catalogo/2026/bmw/m4-coupe/cs/172738
BMW|BMW M5 4.4L|Sedán|2949900.0|Más de $1,200,000|Gasolina - Eléctrico|automática 8 velocidades Steptronic|https://www.autocosmos.com.mx/catalogo/2026/bmw/m5/44l/172717
BMW|BMW M8 Coupé Competition|Coupé|3455000.0|Más de $1,200,000|Gasolina|automática 8 velocidades Steptronic|https://www.autocosmos.com.mx/catalogo/2026/bmw/m8-coupe/competition/172767
BMW|BMW Serie 1 118|Hatchback|799900.0|$750,000 – $799,999|Gasolina|automática doble embrague, 7 velocidades|https://www.autocosmos.com.mx/catalogo/2026/bmw/serie-1/118/172733
BMW|BMW Serie 1 M135i xDrive|Hatchback|1179900.0|$1,150,000 – $1,199,999|Gasolina|automática 7 velocidades|https://www.autocosmos.com.mx/catalogo/2026/bmw/serie-1/m135i-xdrive/172732
BMW|2025|Coupé||No disponible|Gasolina|automática 8 velocidades|https://www.autocosmos.com.mx/catalogo/2025/bmw/serie-2-coupe/220i/172469
BMW|BMW Serie 2 Coupé M240i|Coupé|1235000.0|Más de $1,200,000|Gasolina|automática 8 velocidades|https://www.autocosmos.com.mx/catalogo/2025/bmw/serie-2-coupe/m240i/172470
BMW|2024|Coupé||No disponible|Gasolina|automática 8 velocidades|https://www.autocosmos.com.mx/catalogo/2024/bmw/serie-2-coupe/m240i/170269
BMW|BMW Serie 2 Gran Coupé 218|Sedán|845900.0|$800,000 – $849,999|Gasolina|automática 7 velocidades|https://www.autocosmos.com.mx/catalogo/2025/bmw/serie-2-gran-coupe/218/172329
BMW|BMW Serie 2 Gran Coupé M235 xDrive|Sedán|1229900.0|Más de $1,200,000|Gasolina|automática 7 velocidades|https://www.autocosmos.com.mx/catalogo/2025/bmw/serie-2-gran-coupe/m235-xdrive/172328
BMW|BMW Serie 3 320i Edición 30 Años|Sedán|1119900.0|$1,100,000 – $1,149,999|Gasolina|automática 8 velocidades Steptronic|https://www.autocosmos.com.mx/catalogo/2025/bmw/serie-3/320i-edicion-30-anos/172247
BMW|BMW Serie 3 330e|Sedán|1305000.0|Más de $1,200,000|Gasolina - Eléctrico|automática 8 velocidades|https://www.autocosmos.com.mx/catalogo/2025/bmw/serie-3/330e/172248
BMW|BMW Serie 3 M340i xDrive Aut|Sedán|1420000.0|Más de $1,200,000|Gasolina|automática 8 velocidades|https://www.autocosmos.com.mx/catalogo/2025/bmw/serie-3/m340i-xdrive-aut/172249
BMW|BMW Serie 4 Convertible M440i xDrive|Convertible|1760900.0|Más de $1,200,000|Gasolina|automática 8 velocidades Steptronic|https://www.autocosmos.com.mx/catalogo/2026/bmw/serie-4-convertible/m440i-xdrive/172867
BMW|BMW Serie 4 Coupé 430i|Coupé|1209900.0|Más de $1,200,000|Gasolina|automática 8 velocidades|https://www.autocosmos.com.mx/catalogo/2026/bmw/serie-4-coupe/430i/172720
BMW|BMW Serie 4 Coupé M440i xDrive|Coupé|1599900.0|Más de $1,200,000|Gasolina|automática 8 velocidades|https://www.autocosmos.com.mx/catalogo/2026/bmw/serie-4-coupe/m440i-xdrive/172721
BMW|BMW Serie 4 Gran Coupé 430i|Sedán|1213100.0|Más de $1,200,000|Gasolina|automática 8 velocidades|https://www.autocosmos.com.mx/catalogo/2026/bmw/serie-4-gran-coupe/430i/172726
BMW|BMW Serie 5 530e|Sedán|1589900.0|Más de $1,200,000|Gasolina - Eléctrico|automática|https://www.autocosmos.com.mx/catalogo/2026/bmw/serie-5/530e/172868
BMW|BMW Serie 7 750e xDrive|Sedán|2715900.0|Más de $1,200,000|Gasolina|automática 8 velocidades Steptronic|https://www.autocosmos.com.mx/catalogo/2026/bmw/serie-7/750e-xdrive/172742
BMW|BMW Serie 8 Gran Coupé M850i xDrive|Sedán|2490000.0|Más de $1,200,000|Gasolina|automática 8 velocidades Steptronic|https://www.autocosmos.com.mx/catalogo/2026/bmw/serie-8-gran-coupe/m850i-xdrive/172745
BMW|2026|SUV||No disponible|Gasolina|automática doble embrague, 7 velocidades|https://www.autocosmos.com.mx/catalogo/2026/bmw/x1/sdrive18i/172612
BMW|BMW X1 eDrive20|SUV|1159900.0|$1,150,000 – $1,199,999|eléctrico|automática doble embrague, 7 velocidades|https://www.autocosmos.com.mx/catalogo/2026/bmw/x1/edrive20/172727
BMW|2025|SUV||No disponible|Gasolina|automática doble embrague, 7 velocidades|https://www.autocosmos.com.mx/catalogo/2025/bmw/x1/sdrive18i/171608
BMW|BMW X1 sDrive20i|SUV|1105000.0|$1,100,000 – $1,149,999|Gasolina|automática doble embrague, 7 velocidades|https://www.autocosmos.com.mx/catalogo/2025/bmw/x1/sdrive20i/171929
BMW|BMW X2 xDrive20i|SUV|1144900.0|$1,100,000 – $1,149,999|Gasolina|automática doble embrague, 7 velocidades|https://www.autocosmos.com.mx/catalogo/2026/bmw/x2/xdrive20i/172750
BMW|BMW X2 M35i|SUV|1269900.0|Más de $1,200,000|Gasolina|automática 7 velocidades|https://www.autocosmos.com.mx/catalogo/2026/bmw/x2/m35i/172613
BMW|BMW X3 M50 xDrive|SUV|1609900.0|Más de $1,200,000|Gasolina|automática 8 velocidades Steptronic|https://www.autocosmos.com.mx/catalogo/2026/bmw/x3/m50-xdrive/172751
BMW|BMW X3 Híbrido 30e xDrive|SUV|1499900.0|Más de $1,200,000|Gasolina - Eléctrico|automática 8 velocidades Steptronic|https://www.autocosmos.com.mx/catalogo/2026/bmw/x3-hibrido/30e-xdrive/172756
